Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
TOYOTA Prius Prime	1.8	4	CVT	2WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LTYXV01.8P35	midsize car	7	55/145	53/121	54/133	10	Elite
TOYOTA Prius Prime	1.8	4	CVT	2WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LTYXV01.8P35	midsize car	7	55/145	53/121	54/133	10	Elite
TOYOTA RAV4	2.5	4	SemiAuto-8	2WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	LTYXJ02.5N4L	small SUV	6	27	35	30	7	Yes
TOYOTA RAV4	2.5	4	SemiAuto-8	2WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	LTYXJ02.5N4L	small SUV	6	28	35	30	7	Yes
TOYOTA RAV4	2.5	4	SemiAuto-8	2WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LTYXJ02.5N4L	small SUV	6	27	35	30	7	Yes
TOYOTA RAV4	2.5	4	SemiAuto-8	2WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LTYXJ02.5N4L	small SUV	6	28	35	30	7	Yes
TOYOTA RAV4 Hybrid	2.5	4	SCV-6	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LTYXT02.5P3N	small SUV	7	41	38	40	9	Yes
TOYOTA RAV4 Hybrid	2.5	4	SCV-6	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LTYXT02.5P3N	small SUV	7	41	38	40	9	Yes
TOYOTA RAV4 LE	2.5	4	SemiAuto-8	4WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	LTYXJ02.5N4L	small SUV	6	27	34	30	7	Yes
TOYOTA RAV4 LE	2.5	4	SemiAuto-8	4WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LTYXJ02.5N4L	small SUV	6	27	34	30	7	Yes
VOLKSWAGEN Golf	1.4	4	Man-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LVGAV01.4V3P	small car	7	28	36	31	7	Yes
VOLKSWAGEN Golf	1.4	4	Man-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LVGAV01.4V3P	small car	7	28	36	31	7	Yes
VOLKSWAGEN Golf	1.4	4	SemiAuto-8	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LVGAV01.4V3P	small car	7	29	35	32	7	Yes
VOLKSWAGEN Golf	1.4	4	SemiAuto-8	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LVGAV01.4V3P	small car	7	29	35	32	7	Yes
VOLKSWAGEN Jetta	1.4	4	Man-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LVGAV01.4V3P	small car	7	30	40	34	8	Yes
VOLKSWAGEN Jetta	1.4	4	Man-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LVGAV01.4V3P	small car	7	30	40	34	8	Yes
VOLKSWAGEN Jetta	1.4	4	SemiAuto-8	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LVGAV01.4V3P	small car	7	30	40	34	8	Yes
VOLKSWAGEN Jetta	1.4	4	SemiAuto-8	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LVGAV01.4V3P	small car	7	30	40	34	8	Yes
VOLKSWAGEN Jetta	1.4	4	SemiAuto-8	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LVGAV01.4V7P	small car	5	30	40	34	8	Yes
VOLKSWAGEN Jetta	1.4	4	SemiAuto-8	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LVGAV01.4V7P	small car	5	30	40	34	8	Yes
VOLVO S60	2	4	SemiAuto-8	4WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LVVXJ02.0P30	small car	7	28/70	33/68	30/69	10	Elite
VOLVO S60	2	4	SemiAuto-8	4WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LVVXJ02.0P30	small car	7	28/70	33/68	30/69	10	Elite
VOLVO S90	2	4	SemiAuto-8	4WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LVVXJ02.0P30	midsize car	7	28/58	31/64	30/60	10	Elite
VOLVO S90	2	4	SemiAuto-8	4WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LVVXJ02.0P30	midsize car	7	28/58	31/64	30/60	10	Elite
VOLVO V60	2	4	SemiAuto-8	4WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LVVXJ02.0P30	station wagon	7	28/70	33/68	30/69	10	Elite
VOLVO V60	2	4	SemiAuto-8	4WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LVVXJ02.0P30	station wagon	7	28/70	33/68	30/69	10	Elite
VOLVO XC60	2	4	SemiAuto-8	4WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LVVXJ02.0P30	small SUV	7	26/56	28/57	27/57	10	Elite
VOLVO XC60	2	4	SemiAuto-8	4WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LVVXJ02.0P30	small SUV	7	26/56	28/57	27/57	10	Elite
VOLVO XC90	2	4	SemiAuto-8	4WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LVVXJ02.0P30	standard SUV	7	26/58	28/52	27/55	10	Elite
VOLVO XC90	2	4	SemiAuto-8	4WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LVVXJ02.0P30	standard SUV	7	26/58	28/52	27/55	10	Elite
