Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
MINI Cooper S Hardtop	2	4	AMS-7	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LBMXV02.0B46	small car	7	26	35	30	7	Yes
MINI Cooper SE Hardtop	N/A	N/A	Auto-1	2WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LBMXV00.0F5B	small car	10	115	100	108	10	Elite
MINI Cooper SE Hardtop	N/A	N/A	Auto-1	2WD	Electricity	CA	ZEV	California ZEV	LBMXV00.0F5B	small car	10	115	100	108	10	Elite
MITSUBISHI Mirage	1.2	3	CVT	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LMTXV01.2G5P	small car	5	36	43	39	9	Yes
MITSUBISHI Mirage	1.2	3	CVT	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LMTXV01.2G5P	small car	5	36	43	39	9	Yes
MITSUBISHI Mirage	1.2	3	Man-5	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LMTXV01.2G5P	small car	5	33	41	36	8	Yes
MITSUBISHI Mirage	1.2	3	Man-5	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LMTXV01.2G5P	small car	5	33	41	36	8	Yes
MITSUBISHI Mirage G4	1.2	3	CVT	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LMTXV01.2G5P	small car	5	35	41	37	8	Yes
MITSUBISHI Mirage G4	1.2	3	CVT	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LMTXV01.2G5P	small car	5	35	41	37	8	Yes
MITSUBISHI Mirage G4	1.2	3	Man-5	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LMTXV01.2G5P	small car	5	33	40	35	8	Yes
MITSUBISHI Mirage G4	1.2	3	Man-5	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LMTXV01.2G5P	small car	5	33	40	35	8	Yes
MITSUBISHI Outlander PHEV	2	4	Auto-1	4WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LMTXT02.0H3M	small SUV	7	25/78	26/70	25/74	10	Elite
MITSUBISHI Outlander PHEV	2	4	Auto-1	4WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LMTXT02.0H3M	small SUV	7	25/78	26/70	25/74	10	Elite
NISSAN Altima	2.5	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LNSXV02.5RPA	midsize car	7	28	39	32	7	Yes
NISSAN Altima	2.5	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LNSXV02.5RPA	midsize car	7	28	39	32	7	Yes
NISSAN Altima	2.5	4	CVT	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LNSXV02.5RPA	midsize car	7	26	36	30	7	Yes
NISSAN Altima	2.5	4	CVT	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LNSXV02.5RPA	midsize car	7	26	36	30	7	Yes
NISSAN Altima SR/Platinum	2.5	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LNSXV02.5RPA	midsize car	7	27	37	31	7	Yes
NISSAN Altima SR/Platinum	2.5	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LNSXV02.5RPA	midsize car	7	27	37	31	7	Yes
NISSAN Kicks	1.6	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LNSXV01.6RNA	midsize car	7	31	36	33	7	Yes
NISSAN Kicks	1.6	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LNSXV01.6RNA	midsize car	7	31	36	33	7	Yes
NISSAN Leaf	N/A	N/A	Auto-1	2WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LNSXV0000TL2	midsize car	10	123	99	111	10	Elite
NISSAN Leaf	N/A	N/A	Auto-1	2WD	Electricity	CA	ZEV	California ZEV	LNSXV0000TL2	midsize car	10	123	99	111	10	Elite
NISSAN Leaf	N/A	N/A	Auto-1	2WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LNSXV0000TS3	midsize car	10	118	97	108	10	Elite
NISSAN Leaf	N/A	N/A	Auto-1	2WD	Electricity	CA	ZEV	California ZEV	LNSXV0000TS3	midsize car	10	118	97	108	10	Elite
NISSAN Leaf SV/SL	N/A	N/A	Auto-1	2WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LNSXV0000TS3	midsize car	10	114	94	104	10	Elite
NISSAN Leaf SV/SL	N/A	N/A	Auto-1	2WD	Electricity	CA	ZEV	California ZEV	LNSXV0000TS3	midsize car	10	114	94	104	10	Elite
NISSAN Sentra	2	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LNSXV02.0RMA	midsize car	7	29	39	33	7	Yes
NISSAN Sentra	2	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LNSXV02.0RMA	midsize car	7	29	39	33	7	Yes
NISSAN Sentra SR	2	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LNSXV02.0RMA	midsize car	7	28	37	32	7	Yes
NISSAN Sentra SR	2	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LNSXV02.0RMA	midsize car	7	28	37	32	7	Yes
NISSAN Versa	1.6	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LNSXV01.6RNA	small car	7	32	40	35	8	Yes
NISSAN Versa	1.6	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LNSXV01.6RNA	small car	7	32	40	35	8	Yes
NISSAN Versa	1.6	4	Man-5	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LNSXV01.6RNA	small car	7	27	35	30	7	Yes
NISSAN Versa	1.6	4	Man-5	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LNSXV01.6RNA	small car	7	27	35	30	7	Yes
POLESTAR 1	2	4	SemiAuto-8	4WD	Gasoline/Electricity	CA	L3ULEV70	California LEV-III ULEV70	LVVXV02.0P3R	small car	5	22/55	31/61	26/58	10	Yes
POLESTAR 1	2	4	SemiAuto-8	4WD	Gasoline/Electricity	FA	T3B70	Federal Tier 3 Bin 70	LVVXV02.0P3R	small car	5	22/55	31/61	26/58	10	Yes
PORSCHE Panamera 4 e-Hybrid	2.9	6	AMS-8	4WD	Gasoline/Electricity	CA	L3ULEV70	California LEV-III ULEV70	LPRXV02.9PH6	large car	5	21/48	24/54	23/51	8	Yes
PORSCHE Panamera 4 e-Hybrid	2.9	6	AMS-8	4WD	Gasoline/Electricity	FA	T3B70	Federal Tier 3 Bin 70	LPRXV02.9PH6	large car	5	21/48	24/54	23/51	8	Yes
PORSCHE Panamera 4 e-Hybrid Executive	2.9	6	AMS-8	4WD	Gasoline/Electricity	CA	L3ULEV70	California LEV-III ULEV70	LPRXV02.9PH6	large car	5	21/48	24/54	23/51	8	Yes
PORSCHE Panamera 4 e-Hybrid Executive	2.9	6	AMS-8	4WD	Gasoline/Electricity	FA	T3B70	Federal Tier 3 Bin 70	LPRXV02.9PH6	large car	5	21/48	24/54	23/51	8	Yes
PORSCHE Panamera 4 e-Hybrid ST	2.9	6	AMS-8	4WD	Gasoline/Electricity	CA	L3ULEV70	California LEV-III ULEV70	LPRXV02.9PH6	large car	5	21/48	24/54	23/51	8	Yes
PORSCHE Panamera 4 e-Hybrid ST	2.9	6	AMS-8	4WD	Gasoline/Electricity	FA	T3B70	Federal Tier 3 Bin 70	LPRXV02.9PH6	large car	5	21/48	24/54	23/51	8	Yes
PORSCHE Taycan 4S Perf Battery Plus	N/A	N/A	Auto-2	4WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LPRXV00.0EVT	large car	10	68	71	69	10	Elite
PORSCHE Taycan 4S Perf Battery Plus	N/A	N/A	Auto-2	4WD	Electricity	CA	ZEV	California ZEV	LPRXV00.0EVT	large car	10	68	71	69	10	Elite
PORSCHE Taycan Turbo	N/A	N/A	Auto-2	4WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LPRXV00.0EVT	large car	10	68	71	69	10	Elite
PORSCHE Taycan Turbo	N/A	N/A	Auto-2	4WD	Electricity	CA	ZEV	California ZEV	LPRXV00.0EVT	large car	10	68	71	69	10	Elite
PORSCHE Taycan Turbo S	N/A	N/A	Auto-2	4WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LPRXV00.0EVT	large car	10	67	68	68	10	Elite
PORSCHE Taycan Turbo S	N/A	N/A	Auto-2	4WD	Electricity	CA	ZEV	California ZEV	LPRXV00.0EVT	large car	10	67	68	68	10	Elite
SUBARU Crosstrek	2	4	SCV-8	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LFJXJ02.5BUY	small SUV	7	27	33	30	7	Yes
SUBARU Crosstrek	2	4	SCV-8	4WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LFJXJ02.5BUY	small SUV	6	27	33	30	7	Yes
SUBARU Crosstrek Hybrid	2	4	CVT	4WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LFJXT02.0EVC	small SUV	7	36/99	35/80	35/90	10	Elite
SUBARU Crosstrek Hybrid	2	4	CVT	4WD	Gasoline/Electricity	FA	T3B50	Federal Tier 3 Bin 50	LFJXT02.0EVC	small SUV	6	36/99	35/80	35/90	10	Yes
SUBARU Impreza	2	4	SCV-7	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LFJXJ02.5BUY	midsize car	7	28	36	31	7	Yes
SUBARU Impreza	2	4	SCV-7	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LFJXJ02.5BUY	station wagon	7	28	36	31	7	Yes
SUBARU Impreza	2	4	SCV-7	4WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LFJXJ02.5BUY	midsize car	6	28	36	31	7	Yes
SUBARU Impreza	2	4	SCV-7	4WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LFJXJ02.5BUY	station wagon	6	28	36	31	7	Yes
SUBARU Impreza 4-Door Sport	2	4	SCV-7	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LFJXJ02.5BUY	midsize car	7	27	36	30	7	Yes
SUBARU Impreza 4-Door Sport	2	4	SCV-7	4WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LFJXJ02.5BUY	midsize car	6	27	36	30	7	Yes
SUBARU Impreza 5-Door Sport	2	4	SCV-7	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LFJXJ02.5BUY	station wagon	7	27	35	30	7	Yes
SUBARU Impreza 5-Door Sport	2	4	SCV-7	4WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LFJXJ02.5BUY	station wagon	6	27	35	30	7	Yes
SUBARU Legacy	2.5	4	SCV-8	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LFJXJ02.5BUY	large car	7	27	35	30	7	Yes
SUBARU Legacy	2.5	4	SCV-8	4WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LFJXJ02.5BUY	large car	6	27	35	30	7	Yes
TESLA Model 3 Long Range	N/A	N/A	Auto-1	4WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LTSLV00.0L23	midsize car	10	124	116	121	10	Elite
TESLA Model 3 Long Range	N/A	N/A	Auto-1	4WD	Electricity	CA	ZEV	California ZEV	LTSLV00.0L23	midsize car	10	124	116	121	10	Elite
"TESLA Model 3 Long Range Perform 18"""	N/A	N/A	Auto-1	4WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LTSLV00.0L23	midsize car	10	124	116	121	10	Elite
"TESLA Model 3 Long Range Perform 18"""	N/A	N/A	Auto-1	4WD	Electricity	CA	ZEV	California ZEV	LTSLV00.0L23	midsize car	10	124	116	121	10	Elite
"TESLA Model 3 Long Range Perform 19"""	N/A	N/A	Auto-1	4WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LTSLV00.0L23	midsize car	10	119	112	116	10	Elite
"TESLA Model 3 Long Range Perform 19"""	N/A	N/A	Auto-1	4WD	Electricity	CA	ZEV	California ZEV	LTSLV00.0L23	midsize car	10	119	112	116	10	Elite
"TESLA Model 3 Long Range Perform 20"""	N/A	N/A	Auto-1	4WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LTSLV00.0L23	midsize car	10	118	107	113	10	Elite
"TESLA Model 3 Long Range Perform 20"""	N/A	N/A	Auto-1	4WD	Electricity	CA	ZEV	California ZEV	LTSLV00.0L23	midsize car	10	118	107	113	10	Elite
TESLA Model 3 Mid Range	N/A	N/A	Auto-1	2WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LTSLV00.0L13	midsize car	10	128	117	123	10	Elite
TESLA Model 3 Mid Range	N/A	N/A	Auto-1	2WD	Electricity	CA	ZEV	California ZEV	LTSLV00.0L13	midsize car	10	128	117	123	10	Elite
TESLA Model 3 Standard Range	N/A	N/A	Auto-1	2WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LTSLV00.0L13	midsize car	10	138	124	131	10	Elite
TESLA Model 3 Standard Range	N/A	N/A	Auto-1	2WD	Electricity	CA	ZEV	California ZEV	LTSLV00.0L13	midsize car	10	138	124	131	10	Elite
TESLA Model 3 Standard Range Plus	N/A	N/A	Auto-1	2WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LTSLV00.0L13	midsize car	10	148	132	141	10	Elite
TESLA Model 3 Standard Range Plus	N/A	N/A	Auto-1	2WD	Electricity	CA	ZEV	California ZEV	LTSLV00.0L13	midsize car	10	148	132	141	10	Elite
TESLA Model 4 Long Range	N/A	N/A	Auto-1	2WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LTSLV00.0L13	midsize car	10	136	123	130	10	Elite
TESLA Model 4 Long Range	N/A	N/A	Auto-1	2WD	Electricity	CA	ZEV	California ZEV	LTSLV00.0L13	midsize car	10	136	123	130	10	Elite
TESLA Model S Long Range	N/A	N/A	Auto-1	4WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LTSLV00.0L2S	large car	10	115	107	111	10	Elite
TESLA Model S Long Range	N/A	N/A	Auto-1	4WD	Electricity	CA	ZEV	California ZEV	LTSLV00.0L2S	large car	10	115	107	111	10	Elite
TESLA Model S Long Range Plus	N/A	N/A	Auto-1	4WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LTSLV00.0L2S	large car	10	121	112	117	10	Elite
TESLA Model S Long Range Plus	N/A	N/A	Auto-1	4WD	Electricity	CA	ZEV	California ZEV	LTSLV00.0L2S	large car	10	121	112	117	10	Elite
"TESLA Model S Performance (19"")"	N/A	N/A	Auto-1	4WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LTSLV00.0L2S	large car	10	104	104	104	10	Elite
"TESLA Model S Performance (19"")"	N/A	N/A	Auto-1	4WD	Electricity	CA	ZEV	California ZEV	LTSLV00.0L2S	large car	10	104	104	104	10	Elite
